-125.5301689661073	, 43.78033008783382  , P04  
-125.2762577028466  , 43.782142392048    , P05  
-125.1130915603205  , 43.77928911168438  ,P06  
-124.930037194073   , 43.78004544361455  ,P07  
-124.6258785209822  , 43.77937672827941  ,P08  
-124.3875978920479  , 43.77764723956713  ,P09  
-126.15             , 44.212              ,N02
-125.75             , 44.212             ,N03  
-125.4117436262612  , 44.21404184200716  ,N04  
-125.2267870336404  , 44.2129001541963   ,N05  
-125.0305940179292  , 44.21441230444778  ,N06  
-124.8093632418412  , 44.21541357470281  ,N07  
-124.5569827652247  , 44.22262211554288  ,N08  
-124.3007057563825  , 44.22139899278317  ,N09  
-125.4299496734403  , 44.66655218724652  ,L03  
-125.1688264241926  , 44.66978852081624  ,L04  
-125.0028151869934  , 44.67310776398053  ,L05  
-124.7728558307166  , 44.67050802012237  ,L06  
-124.5626002419646  , 44.67065660896603  ,L07  
-124.4120051067097  , 44.67022936290012  ,L08  
-124.2318300145758  , 44.67286457248511  ,L09  
-125.5225807665964  , 45.12397441360743  ,J04  
-125.2445821649225  , 45.12909652808955  ,J05  
-124.9986471715664  , 45.13033388358884  ,J06  
-124.7300463430212  , 45.1293453969089   ,J07  
-124.4803849207989  , 45.13121283256496  ,J08  
-124.220620799335   , 45.12949352202131  ,J09  
-125.5386549133675  , 45.56564697040034  ,H03  
-125.3011407967873  , 45.56550052651306  ,H04  
-125.0206514918243  , 45.56439758424925  ,H05  
-124.8352903057311  , 45.5662648165022   ,H06  
-124.6240074293555  , 45.56586234904983  ,H07  
-124.4014647909029  , 45.56890403203845  ,H08  
-124.1988746441958  , 45.57082193492568  ,H09  
-125.8913067251652  , 46.02413675053504  ,F03  
-125.6446964923558  , 46.02469321567488  ,F04  
-125.3342743256642  , 46.02646787124845  ,F05  
-124.9993591739631  , 46.02059498958391  ,F06  
-124.6805767500698  , 46.01993701722513  ,F07  
-124.4073289428947  , 46.02134658284655  ,F08  
-124.1562483444032  , 46.02559508524963  ,F09  
-125.9311564137912  , 46.49598567011881  ,D03  
-125.5799796325641  , 46.50015691882867  ,D04  
-125.2676805291783  , 46.50262652452845  ,D05  
-124.9957949879272  , 46.50522140852877  ,D06  
-124.7454657592967  , 46.50196867632702  ,D07  
-124.4440349279289  , 46.50371078740704  ,D08  
-124.2375675400121  , 46.5000058487929   ,D09  
-127.0913007947995  , 47.01336201010677 , B01  
-126.6950287343813  , 47.0101533674991  , B02  
-126.2850648408896  , 47.00935450035134  ,B03  
-125.8460331317849  , 47.01076137429771  ,B04  
-125.4999219862328  , 47.00934150189514  ,B05  
-125.1629010987088  , 47.01445280475146  ,B06  
-124.8639961077001  , 47.01874327025366  ,B07  
-124.6022916330472  , 47.01472562744951  ,B08  
-124.3506927102563  , 47.02133389512049  ,B09  
